Company,Total_Members,Category,Rank,Count,Label,Scraped_At
Google,"342,347",Where they live,1,6,Cards updated,2026-05-29 11:45:52
Google,"342,347",Where they studied,1,6,Cards updated,2026-05-29 11:45:52
Google,"342,347",What they do,1,6,Cards updated,2026-05-29 11:45:52
Google,"342,347",What they are skilled at,1,6,Cards updated,2026-05-29 11:45:52
Piris Labs,6,Where they live,1,6,Cards updated,2026-05-29 11:46:58
Piris Labs,6,Where they studied,1,6,Cards updated,2026-05-29 11:46:58
Piris Labs,6,What they do,1,6,Cards updated,2026-05-29 11:46:58
Piris Labs,6,What they are skilled at,1,6,Cards updated,2026-05-29 11:46:58
Voxel Energy,4,Where they live,1,6,Cards updated,2026-05-29 11:47:58
Voxel Energy,4,Where they studied,1,6,Cards updated,2026-05-29 11:47:58
Voxel Energy,4,What they do,1,6,Cards updated,2026-05-29 11:47:58
Voxel Energy,4,What they are skilled at,1,6,Cards updated,2026-05-29 11:47:58
Axion Orbital,4,Where they live,1,6,Cards updated,2026-05-29 11:48:59
Axion Orbital,4,Where they studied,1,6,Cards updated,2026-05-29 11:48:59
Axion Orbital,4,What they do,1,6,Cards updated,2026-05-29 11:48:59
Axion Orbital,4,What they are skilled at,1,6,Cards updated,2026-05-29 11:48:59
